"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType","item","name","coord","lat","lon"
"Q911561","Niedersachsen","Medizinische Hochschule Hannover (MHH)","Hannover","Universität","www.mhh.de/institute-zentren-forschungseinrichtungen/bibliothek/promovieren-publizieren-open-access/open-access-publizieren",NA,"ja",NA,"nein","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q911561","Facultat de Medicina de Hannover","Point(9.80472222 52.38388889)",52.38388889,9.80472222
"Q152838","Niedersachsen","Georg-August-Universität Göttingen","Göttingen","Universität","www.uni-goettingen.de/de/63123.html",NA,"ja",NA,"nein","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q152838","Universitat de Göttingen","Point(9.93792 51.533979833)",51.533979833333,9.93792
"Q678982","Niedersachsen","Gottfried Wilhelm Leibniz Universität Hannover","Hannover","Universität","www.uni-hannover.de/de/universitaet/profil/ziele-strategien/open-access/",NA,"ja",NA,"nein","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q678982","Universitat de Hannover","Point(9.717727777 52.382213888)",52.382213888889,9.7177277777778
"Q702499","Niedersachsen","Universität Osnabrück","Osnabrück","Universität","www.ub.uni-osnabrueck.de/publizieren_archivieren/open_access.html",NA,"ja",NA,"nein","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,45.83,39.55,"Universität",NA,NA,NA,NA,NA
"Q2496174","Niedersachsen","Universität Vechta","Vechta","Universität","bibliothek.uni-vechta.de/schreiben-publizieren/open-access-oa-publizieren/",NA,"ja",NA,"nein","nein",TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,3,"50%",50,45.83,39.55,"Universität","http://www.wikidata.org/entity/Q2496174","Q2496174","Point(8.29382 52.7216)",52.7216,8.29382
"Q1452011","Nordrhein-Westfalen","Fraunhofer-Institut für Hochfrequenzphysik und Radartechnik (FHR)","Wachtberg","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1452011","Q1452011","Point(7.12935 50.61726)",50.61726,7.12935
"Q1451984","Nordrhein-Westfalen","Fraunhofer-Institut für Angewandte Informationstechnik (FIT)","Sankt Augustin","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1451984","Q1451984","Point(7.20366 50.7495)",50.7495,7.20366
"Q18624247","Nordrhein-Westfalen","Fraunhofer-Institut für Kommunikation, Informationsverarbeitung und Ergonomie (FKIE)","Wachtberg","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q18624247","Q18624247","Point(7.12935 50.61726)",50.61726,7.12935
"Q1452013","Nordrhein-Westfalen","Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme (IAIS)","Sankt Augustin","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1452013","Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme","Point(7.20566 50.74898)",50.74898,7.20566
"Q90571373","Nordrhein-Westfalen","Fraunhofer-Einrichtung für Energieinfrastrukturen und Geothermie IEG","Bochum","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q90571373","Q90571373","Point(14.332768 51.75875)",51.75875,14.332768
"Q28890073","Nordrhein-Westfalen","Fraunhofer-Institut für Entwurfstechnik Mechatronik (IEM)","Paderborn","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q28890073","Q28890073","Point(8.737848 51.730414)",51.730414,8.737848
"Q1452014","Nordrhein-Westfalen","Fraunhofer-Institut für Lasertechnik (ILT)","Aachen","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1452014","Q1452014","Point(6.047232 50.785522)",50.785522,6.047232
"Q1452021","Nordrhein-Westfalen","Fraunhofer-Institut für Molekularbiologie und Angewandte Oekologie (IME)","Aachen","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1452021","Q1452021","Point(6.04852 50.78528)",50.78528,6.04852
"Q1452016","Nordrhein-Westfalen","Fraunhofer-Institut für Materialfluss und Logistik (IML)","Dortmund","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein",TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,4,"66.67%",66.67,35.2,39.55,"ForschungsInstitution","http://www.wikidata.org/entity/Q1452016","Q1452016","Point(7.40761 51.4937)",51.4937,7.40761
