"Wikidata.ID","X","Name.der.Institution","Ort","Einrichtungsart","OA.Webseite.der.Institution","OA.Beauftragte.r","OA.Policy","OA.Leitlinie","Berliner.Erklärung","OA2020","bool_OA_Website","bool_OA_Beauftragte","bool_OA.Policy","bool_OA.Leitlinie","bool_OA.PL","bool_Repositorium.URL","bool_Berliner.Erklärung","bool_OA2020","X1","score","OpenScore_institution","bundesländer_score","country_score","institutionType"
"Q1257534","Brandenburg","Fachhochschule für Finanzen Brandenburg","Königs Wusterhausen","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
"Q1391247","Brandenburg","Fachhochschule der Polizei des Landes Brandenburg","Oranienburg","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
"Q17123097","Brandenburg","Fachhochschule für Sport und Management Potsdam","Potsdam","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
"Q1550192","Brandenburg","Filmuniversität Babelsberg Konrad Wolf","Potsdam","Universität","www.filmuniversitaet.de/filmuni/universitaetsbibliothek/fachinformation/opus-publikationsserver/",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",2,"33.33%",33.33,45,39.55,"Universität"
"Q84941339","Brandenburg","HMU Health and Medical University Potsdam","Potsdam","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
"Q1622244","Brandenburg","Hochschule für nachhaltige Entwicklung Eberswalde","Eberswalde","Hochschule","www.hnee.de/de/Hochschule/Einrichtungen/Hochschulbibliothek/Open-Access-/-Publishing/Open-Access-und-Publikation-E10929.htm",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",2,"33.33%",33.33,45,39.55,"Hochschule"
"Q1391182","Brandenburg","Technische Hochschule Brandenburg","Brandenburg","Hochschule","bibliothek.th-brandenburg.de/open-access-und-publizieren/open-access/",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",2,"33.33%",33.33,45,39.55,"Hochschule"
"Q1623675","Brandenburg","Theologische Hochschule Elstal","Wustermark","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
"Q60867576","Brandenburg","XU Exponential University of Applied Sciences","Potsdam","Hochschule","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Hochschule"
"Q153012","Brandenburg","Universität Potsdam","Potsdam","Universität","www.ub.uni-potsdam.de/de/publizieren/open-access-publizieren",NA,"https://www.ub.uni-potsdam.de/de/publizieren/open-access/senatsresolution","www.ub.uni-potsdam.de/de/publizieren/open-access/senatsresolution","ja","ja","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","TRUE",5,"83.33%",83.33,45,39.55,"Universität"
"Q149481","Brandenburg","Europa-Universität Viadrina Frankfurt (Oder)","Frankfurt","Universität","www.ub.europa-uni.de/de/benutzung/bestand/edocs/oa/index.html",NA,"nein",NA,"ja","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","TRUE","FALSE",3,"50%",50,45,39.55,"Universität"
"Q149433","Brandenburg","Brandenburgische Technische Universität Cottbus-Senftenberg (BTU)","Cottbus","Universität","www.b-tu.de/bibliothek/publizieren/open-access",NA,"nein",NA,"nein","nein","TRUE","FALSE","FALSE","FALSE","FALSE","TRUE","FALSE","FALSE",2,"33.33%",33.33,45,39.55,"Universität"
"Q16320336","Brandenburg","Medizinische Hochschule Brandenburg Theodor Fontane","Neuruppin","Universität","Recherche fehlt","Recherche fehlt","Recherche fehlt","Recherche fehlt","nein","nein","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE","FALSE",0,"0%",0,45,39.55,"Universität"
"Q1452002","Bremen","Fraunhofer-Institut für Fertigungstechnik und Angewandte Materialforschung (IFAM)","Bremen","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,46.88,39.55,"ForschungsInstitution"
"Q1452046","Bremen","Fraunhofer-Institut für Windenergiesysteme (IWES)","Bremerhaven","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,46.88,39.55,"ForschungsInstitution"
"Q1451995","Bremen","Fraunhofer-Institut für Digitale Medizin (MEVIS)","Bremen","Forschungsorganisation: Frauenhofer-Gesellschaft","https://www.openaccess.fraunhofer.de/",NA,"ja, als FhG","https://www.openaccess.fraunhofer.de/content/dam/openaccess/de/documents/Fraunhofer-Open-Access-Strategie-2020.pdf","ja, als FhG","nein","TRUE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE","FALSE",4,"66.67%",66.67,46.88,39.55,"ForschungsInstitution"
"Q536656","Bremen","Alfred-Wegener-Institut (AWI) Helmholtz-Zentrum für Polar- und Meeresforschung","Bremerhaven","Forschungsorganisation: Helmholtz-Gemeinschaft",NA,NA,"nein","https://gfzpublic.gfz-potsdam.de/pubman/item/item_5004288","ja, als HGF","ja","FALSE","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","TRUE",4,"66.67%",66.67,46.88,39.55,"ForschungsInstitution"
