"lon","lat","OpenScore_institution"
8.65957,49.8742,66.67
10.546,52.302,66.67
7.12935,50.61726,66.67
7.20566,50.74898,66.67
6.047232,50.785522,66.67
13.78068,51.02912,83.33
7.40761,51.4937,66.67
13.314444444444,52.526111111111,66.67
13.32495,52.51632,66.67
6.04852,50.78528,66.67
6.7966666666667,51.428888888889,66.67
9.09691,48.741,66.67
10.546,52.302,66.67
13.323611111111,52.523888888889,66.67
6.047006,50.784803,66.67
8.63823,49.8714,66.67
7.40041,51.49364,66.67
7.75219,49.4299,66.67
9.79786,52.3877,66.67
7.83468,48.009,66.67
6.88134,51.48588,66.67
13.736,51.0272,83.33
12.9252,50.8134,83.33
13.7805,51.03,83.33
8.57219,53.52091,66.67
7.047916,49.258171,66.67
13.38452,52.54252,66.67
9.19228,48.7822,0
8.6928,50.573,0
9.05806,48.5369,66.67
12.38678455,51.33547823,66.67
11.4608,48.105,83.33
7.205669,50.748944,66.67
8.19306,50.0839,0
8.46294,49.485686,66.67
6.99783,49.2303,0
10.43388889,54.16,83.33
14.3264,51.7672,33.33
14.553888888889,52.342222222222,50
10.511,52.2681,83.33
7.84033,51.683148,0
14.9612354,51.3596955,0
11.578056,50.9175,83.33
11.5812,48.1405,83.33
9.218452,49.147159,0
13.3158909,52.5119729,0
8.7063888888889,49.410277777778,66.67
13.393333333333,52.518055555556,83.33
7.1022222222222,50.733888888889,33.33
11.943814,51.495883,83.33
9.16138889,49.97194444,16.67
9.93792,51.533979833333,50
13.290555555556,52.453055555556,83.33
13.011888888889,52.401111111111,83.33
10.997838888889,49.459661111111,0
9.059,48.525,50
7.8469444444444,47.994166666667,66.67
9.17278,48.7803,0
11.582222222222,50.928333333333,66.67
12.378727777778,51.3387,83.33
13.116667,52.388611,33.33
13.3887,52.512222222222,66.67
8.7736111111111,50.810833333333,50
9.95603,51.55818,16.67
9.95603,51.55818,0
10.04994,53.58236,0
7.040171,49.256834,100
8.74121,50.36974,66.67
10.1225,54.338888888889,66.67
9.98965,53.5502,0
13.7561,52.4276,83.33
11.568055555556,48.148055555556,66.67
11.5820779,48.1411551,0
13.726666666667,51.028055555556,83.33
6.95585,50.93186,0
6.8135045,51.2191041,0
10.897858,49.89248,66.67
8.6729,50.12111,83.33
9.183608,48.792308,0
12.9275,50.83917,66.67
9.9732,53.5934,66.67
11.580742,50.934542,50
10.531487,52.211502,100
9.17997,48.9084,0
12.433714,51.352044,66.67
9.7655555555556,52.369166666667,66.67
9.73096,50.9914,0
7.6276014,50.4015241,0
9.9352777777778,49.788055555556,83.33
8.2416666666667,49.993055555556,66.67
9.70458,53.4776,0
10.0736,48.8381,50
11.70917278,51.82358111,66.67
10.5672,49.3061,0
7.270749,51.447628,16.67
9.78833,48.0937,0
7.18194,50.7806,33.33
8.85361111,53.10861111,16.67
